Subject;RASSETS.RAS01.;RASSETS.RAS02.;RASSETS.RAS03.;RASSETS.RAS04.;RASSETS.RAS05.;SUSCEP.SAS01.;SUSCEP.SAS02.;SUSCEP.SAS03.;RTPROV.TP01.;RTPROV.TP02.;RTPROV.TP03.;RTPROV.TP04.;RTPROV.TP05.;RTPROV.RP01.;RTPROV.RP02.;RTPROV.RP03.;RTPROV.RP04.;RTPROV.RP05.;QSA6.SA601.;QSA6.SA602.;QSA6.SA603.;QSA6.SA604.;QSA6.SA605.;QSA6.SA606.;QIUIPC1.IUI01.;QIUIPC1.IUI02.;QIUIPC1.IUI03.;QIUIPC1.IUI04.;QIUIPC1.IUI05.;QIUIPC1.IUI06.;QIUIPC1.IUI07.;QIUIPC1.IUI08.;Case;WTD_MouseDynamics;WTD_KeystrokeDynamics;WTD_FaceRecognition;WTD_IrisRecognition;WTD_Fingerprint;WTD_Voice;WTD_TouchDynamics;WTD_Profiling;WTD_ConnectionData;WTD_DeviceStatistics;WTD_Location;WTD_ECG;WTD_EEG;WTD_Move;WTD_Gait;EFFIC_MouseDynamics;EFFIC_KeystrokeDynamics;EFFIC_FaceRecognition;EFFIC_IrisRecognition;EFFIC_Fingerprint;EFFIC_Voice;EFFIC_TouchDynamics;EFFIC_Profiling;EFFIC_ConnectionData;EFFIC_DeviceStatistics;EFFIC_Location;EFFIC_ECG;EFFIC_EEG;EFFIC_Move;EFFIC_Gait;RISK_MouseDynamics;RISK_KeystrokeDynamics;RISK_FaceRecognition;RISK_IrisRecognition;RISK_Fingerprint;RISK_Voice;RISK_TouchDynamics;RISK_Profiling;RISK_ConnectionData;RISK_DeviceStatistics;RISK_Location;RISK_ECG;RISK_EEG;RISK_Move;RISK_Gait;Highest.education.level.completed;Household.income.;Age ;Sex;Ethnicity.simplified;Country.of.residence;Nationality;Language
1;7;6;6;7;7;2;2;3;5;5;7;6;5;4;4;3;4;3;4;4;4;3;3;4;6;6;7;6;5;6;6;7;onlineshopping;90;49;19;50;100;33;65;62;77;74;61;42;69;21;9;83;47;37;75;79;92;61;77;29;55;48;39;64;77;11;8;43;99;48;41;65;17;62;77;50;89;30;32;20;10;Undergraduate degree (BA/BSc/other);$70000-$79999;25-34;Male;Mixed;United States;United States;English
2;6;7;6;6;6;3;2;3;2;2;1;4;3;7;7;5;5;6;4;3;4;4;3;4;2;3;6;4;6;5;7;7;banking;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;3;0;0;0;0;0;0;0;0;0;61;61;100;100;100;100;71;100;100;100;100;78;100;65;30;Graduate degree (MA/MSc/MPhil/other);$50000-$59999;25-34;Male;White;United States;United States;English
3;7;6;7;6;7;4;3;3;2;1;1;4;2;6;6;7;6;7;5;4;3;5;5;4;4;4;7;4;7;7;7;6;socialmedia;0;0;0;0;0;0;0;9;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;100;99;100;100;100;100;99;100;100;90;100;100;100;100;100;High school diploma/A-levels;$60000-$69999;25-34;Female;White;United States;United States;English
4;7;7;7;7;7;5;5;5;1;1;1;1;3;6;7;7;7;7;5;5;5;5;5;5;1;1;7;7;7;7;7;7;socialmedia;73;54;0;4;0;0;82;10;17;9;0;7;3;87;5;0;0;86;6;87;9;2;0;0;0;0;0;0;0;0;22;19;100;62;78;69;38;35;31;9;94;63;81;16;27;Undergraduate degree (BA/BSc/other);Less than $10000;55-64;Female;White;United States;United States;English
5;4;2;4;4;3;3;3;3;3;2;1;4;2;6;6;6;6;6;3;3;2;2;4;3;7;7;7;7;7;7;7;7;music;6;0;0;0;0;8;0;10;0;6;19;3;0;10;4;0;0;44;24;49;0;0;6;26;0;26;0;27;0;1;38;46;100;100;100;91;41;21;87;40;100;58;68;42;31;High school diploma/A-levels;$20000-$29999;45-54;Male;White;United States;United States;English
6;7;6;7;4;4;3;3;3;4;4;4;4;4;6;4;7;4;6;1;2;3;1;1;2;7;7;7;7;4;5;4;6;onlineshopping;50;50;0;0;0;0;50;50;0;50;87;0;0;50;0;50;50;50;51;50;50;50;50;0;8;62;0;0;50;0;50;50;100;100;92;100;50;50;92;76;77;100;100;50;100;Undergraduate degree (BA/BSc/other);$16000-$19999;65-74;Female;White;United States;United States;English
7;5;5;5;5;7;2;2;2;1;1;1;1;1;7;7;7;7;7;4;4;4;4;4;4;7;5;7;7;7;7;7;7;video;26;52;0;0;0;0;29;6;71;4;20;15;0;23;7;11;13;0;0;0;0;12;0;8;16;10;0;0;17;1;26;23;100;100;100;100;49;39;100;26;100;100;100;33;25;High school diploma/A-levels;$10000-$15999;25-34;Female;White;United States;United States;English
8;7;7;6;7;7;4;3;5;2;3;2;3;1;6;7;6;5;3;4;4;3;2;4;3;6;7;7;7;6;6;6;7;cloud;77;24;63;30;87;81;88;73;100;100;85;0;0;33;18;85;75;92;61;97;89;65;58;80;65;44;0;0;78;23;19;84;50;85;64;76;60;15;55;10;100;100;100;74;79;Technical/community college;$30000-$39999;35-44;Female;Black;United States;United States;English
9;7;5;6;6;7;2;2;3;3;3;3;1;2;7;7;7;6;7;3;3;2;4;2;2;7;7;7;7;5;5;7;7;onlineshopping;8;0;0;0;0;0;0;18;7;0;11;0;0;0;0;10;10;45;35;0;37;41;62;59;0;74;0;0;19;0;20;45;100;93;100;70;49;66;46;43;96;100;100;82;87;Technical/community college;$70000-$79999;45-54;Female;White;United States;United States;English
10;7;7;7;7;7;4;1;5;7;7;7;7;7;7;2;7;2;7;5;5;5;5;5;4;6;7;7;7;6;7;7;7;onlineshopping;76;77;16;17;21;23;80;78;78;77;17;20;0;80;19;76;77;100;100;100;100;80;75;76;80;85;81;75;74;84;23;18;100;100;100;100;21;17;72;21;100;100;100;25;78;High school diploma/A-levels;$10000-$15999;65-74;Male;White;United States;United States;English
